gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN131394_c0_g1_i2	-6.718992492	FC5	female	-0.969303948	male
TRINITY_DN114530_c0_g5_i1	-6.695501543	FC5	female	NA	male
TRINITY_DN47360_c0_g1_i1	-6.676843424	FC5	female	NA	male
TRINITY_DN126147_c0_g2_i5	-6.672456076	FC5	female	NA	male
TRINITY_DN121030_c0_g1_i1	-6.666434929	FC5	female	-1.653725585	male
TRINITY_DN131178_c0_g2_i1	-6.654975583	FC5	female	NA	male
TRINITY_DN125971_c0_g1_i2	-6.647899722	FC5	female	0.261787047	male
TRINITY_DN133674_c1_g2_i1	-6.631754624	FC5	female	NA	male
TRINITY_DN134793_c1_g3_i3	-6.630096917	FC5	female	-1.182347304	male
TRINITY_DN132173_c9_g2_i1	-6.620325122	FC5	female	NA	male
TRINITY_DN135835_c0_g1_i3	-6.618690779	FC5	female	-0.342465421	male
TRINITY_DN129466_c1_g5_i1	-6.615779683	FC5	female	-0.527705715	male
TRINITY_DN124190_c0_g2_i1	-6.610880084	FC5	female	-1.131521495	male
TRINITY_DN125054_c0_g2_i1	-6.595265274	FC5	female	-2.102543754	male
TRINITY_DN124362_c0_g5_i1	-6.58992505	FC5	female	NA	male
TRINITY_DN129466_c1_g2_i3	-6.580342664	FC5	female	0.249113456	male
TRINITY_DN130939_c1_g4_i1	-6.578315309	FC5	female	NA	male
TRINITY_DN125350_c0_g1_i1	-6.570463757	FC5	female	NA	male
TRINITY_DN69434_c0_g1_i1	-6.556858173	FC5	female	NA	male
TRINITY_DN89311_c0_g1_i1	-6.556818841	FC5	female	NA	male
TRINITY_DN113269_c0_g1_i2	-6.555628663	FC5	female	NA	male
TRINITY_DN136529_c1_g1_i7	-6.544437085	FC5	female	5.187482305	male
TRINITY_DN111724_c0_g1_i1	-6.532595354	FC5	female	0.433458313	male
TRINITY_DN129826_c4_g2_i2	-6.531579406	FC5	female	-3.675930632	male
TRINITY_DN135584_c0_g3_i2	-6.52113429	FC5	female	NA	male
TRINITY_DN92629_c0_g4_i1	-6.513859468	FC5	female	-3.013443598	male
TRINITY_DN7291_c0_g1_i1	-6.499955327	FC5	female	NA	male
TRINITY_DN130516_c2_g3_i1	-6.49621401	FC5	female	NA	male
TRINITY_DN110684_c0_g1_i2	-6.489139948	FC5	female	NA	male
TRINITY_DN132180_c5_g1_i6	-6.485764263	FC5	female	-1.270400867	male
TRINITY_DN129042_c7_g5_i3	-6.485480832	FC5	female	0.956818299	male
TRINITY_DN103838_c0_g1_i1	-6.480451356	FC5	female	1.775880623	male
TRINITY_DN121709_c1_g3_i3	-6.479954278	FC5	female	-0.082234518	male
