Log2RPKM	sex	bias
0.776824948	meanmale	female
1.927608107	meanmale	female
2.294787132	meanmale	female
4.085616078	meanmale	female
2.292041255	meanmale	female
4.148351837	meanmale	female
1.685249056	meanmale	female
NA	meanmale	female
4.286321475	meanmale	female
6.695059399	meanmale	female
5.974563086	meanmale	female
-1.29276413	meanmale	female
-0.787180255	meanmale	female
-1.457186516	meanmale	female
6.087991764	meanmale	female
NA	meanmale	female
NA	meanmale	female
0.847294445	meanmale	female
4.75370244	meanmale	female
1.687207629	meanmale	female
-1.354290224	meanmale	female
3.308718865	meanmale	female
4.22719387	meanmale	female
3.471469066	meanmale	female
2.805051816	meanmale	female
-1.528901174	meanmale	female
2.385275751	meanmale	female
1.024532042	meanmale	female
0.416401205	meanmale	female
4.096794846	meanmale	female
0.209178204	meanmale	female
-0.977631624	meanmale	female
1.063743273	meanmale	female
3.256398695	meanmale	female
3.223883791	meanmale	female
5.598996285	meanmale	female
3.585162871	meanmale	female
1.30543892	meanmale	female
2.092941342	meanmale	female
5.73802297	meanmale	female
5.571831238	meanmale	female
3.957264018	meanmale	female
4.472616781	meanmale	female
3.384627095	meanmale	female
-2.726940455	meanmale	female
1.100339056	meanmale	female
2.507044744	meanmale	female
2.487367674	meanmale	female
1.044541219	meanmale	female
0.953662392	meanmale	female
3.469029058	meanmale	female
0.094230162	meanmale	female
-1.13464206	meanmale	female
3.305030397	meanmale	female
1.70028797	meanmale	female
1.537749478	meanmale	female
3.501394773	meanmale	female
3.090336482	meanmale	female
4.819610519	meanmale	female
-1.480692132	meanmale	female
2.681785	meanmale	female
NA	meanmale	female
4.04681233	meanmale	female
5.924099202	meanmale	female
0.260524501	meanmale	female
NA	meanmale	female
2.518043046	meanmale	female
-2.775265478	meanmale	female
2.908225609	meanmale	female
-1.370456419	meanmale	female
2.799729556	meanmale	female
2.57140366	meanmale	female
2.799753684	meanmale	female
-0.288210077	meanmale	female
5.061756602	meanmale	female
2.487384581	meanmale	female
2.521305722	meanmale	female
1.872105583	meanmale	female
4.397994244	meanmale	female
3.803782035	meanmale	female
-0.859894513	meanmale	female
7.093937713	meanmale	female
3.39074779	meanmale	female
1.111798115	meanmale	female
3.014501287	meanmale	female
-0.45534919	meanmale	female
-2.806437989	meanmale	female
1.023803268	meanmale	female
4.036774701	meanmale	female
1.534343071	meanmale	female
0.901484751	meanmale	female
2.56894661	meanmale	female
